trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6622820409839835}",25,16,-22.171158184816726,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6556592205741436}",25,0,-53.17365256482382,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6491026283684022}",35,2,-97.94663431497335,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.6426116020847181}",25,6,-28.246369683301655,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.6361854860638709}",20,11,-11.906385655502973,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6298236312032323}",20,0,-11.748343645130511,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6235253948912}",30,3,-28.10905147781943,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.617290140942288}",20,0,-15.00799273535123,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.611117239532865}",20,0,-10.475760393803695,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6050060671375364}",20,11,15.133455102293254,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.598956006466161}",20,0,-49.977628401258556,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.5929664464014994}",30,8,9.70482254276515,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5870367819374844}",25,0,-3.9977201587025286,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5811664141181095}",20,2,-72.4690023657962,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.01, 'e': 0.5753547499769285}",25,17,5.814774588722031,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5696012024771592}",20,0,-52.120454933052166,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5639051904523875}",30,6,-84.53470333916485,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5582661385478637}",25,1,-38.28710682143107,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.5526834771623851}",30,16,17.34482497597362,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
